subbinReferences,Name,Crop,Variety_type,Crop_specific_variety_type,Year_release,Def1_status,Def2_status,Def3_status,Def4_status,DTMZ_status,QPM_status,CG_Source,Exotic_Source
RM0512017,,Maize,Improved,OPV,2001,Improved,NA,Improved,Improved,No,No,Yes,Yes
KULANI,,Maize,Improved,OPV,1995,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0042017,,Maize,Improved,OPV,1995,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0482017,,Maize,Improved,Hybrid,1993,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0292017,,Maize,Improved,Hybrid,2011,Improved,NA,Improved,Improved,Yes,No,Yes,Yes
RM0312017,,Maize,Improved,Hybrid,1995,Improved,NA,Non-improved,Non-improved,No,No,No,No
RM0202017,,Maize,Improved,Hybrid,2006,Improved,NA,Non-improved,Improved,No,No,No,Yes
RM0232017,,Maize,Improved,Hybrid,2012,Improved,NA,Non-improved,Improved,No,No,No,Yes
MELKASSA-2,,Maize,Improved,OPV,2004,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0142017,,Maize,Improved,Hybrid,2008,Improved,NA,Non-improved,Non-improved,No,No,No,No
GIBE1,,Maize,Improved,Hybrid,2001,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0472017,,Maize,Improved,Hybrid,2011,Improved,NA,Improved,Improved,Yes,No,Yes,Yes
RM0262017,,Maize,Improved,OPV,1988,Improved,NA,Improved,Improved,No,No,Yes,Yes
BH-140,,Maize,Improved,OPV,1988,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0212017,,Maize,Improved,Hybrid,2015,Improved,NA,Non-improved,Improved,No,No,No,Yes
RM0012017,,Maize,Improved,Hybrid,2016,Improved,NA,Improved,Improved,No,Yes,Yes,Yes
RM0222017,,Maize,Improved,Hybrid,1995,Improved,NA,Non-improved,Improved,No,No,No,Yes
BH-670,,Maize,Improved,Hybrid,2002,Improved,NA,Non-improved,Non-improved,No,No,No,No
RM0022017,,Maize,Improved,OPV,2001,Improved,NA,Improved,Improved,No,No,Yes,Yes
RM0062017,,Maize,Improved,OPV,2013,Improved,NA,Improved,Improved,No,Yes,Yes,Yes
